task_name,category,subcategory,difficulty,task_type,avg_time_mins,min_time,max_time,min_time_per_unit,max_time_per_unit,amount_unit,default_amount,min_amount,max_amount,interest
Morning Walk,Fitness,Cardio,1,flexible,30,,,6,20,mins,30,10,120,
Running,Fitness,Cardio,5,flexible,30,,,3,12,km,5,1,42,
Jump Rope,Fitness,Cardio,6,timed,10,2,30,,,,,,,
Cycling,Fitness,Cardio,4,flexible,30,,,2,6,km,15,3,100,
Swimming Laps,Fitness,Cardio,6,flexible,30,,,0.4,2,laps,20,2,100,
Stair Climbing,Fitness,Cardio,6,timed,15,3,45,,,,,,,
Rowing Machine,Fitness,Cardio,5,timed,20,5,60,,,,,,,
Elliptical Machine,Fitness,Cardio,3,timed,30,5,60,,,,,,,
Push-Ups,Fitness,Strength,4,reps,15,,,,,reps,30,1,200,
Pull-Ups,Fitness,Strength,7,reps,15,,,,,reps,10,1,50,
Squats,Fitness,Strength,5,reps,20,,,,,reps,30,5,200,
Deadlift,Fitness,Strength,8,reps,45,,,,,reps,15,1,30,
Bench Press,Fitness,Strength,7,reps,45,,,,,reps,20,1,60,
Lunges,Fitness,Strength,4,reps,20,,,,,reps,20,5,100,
Plank Hold,Fitness,Strength,5,reps,10,,,,,seconds,60,5,600,
Dumbbell Workout,Fitness,Strength,6,timed,40,10,90,,,,,,,
Morning Yoga,Fitness,Flexibility,3,timed,20,5,75,,,,,,,
Full Body Stretch,Fitness,Flexibility,2,timed,15,5,45,,,,,,,
Pilates,Fitness,Flexibility,4,timed,30,10,75,,,,,,,
Foam Rolling,Fitness,Flexibility,2,timed,15,5,35,,,,,,,
Hip Flexor and Hamstring Stretch,Fitness,Flexibility,2,timed,10,3,30,,,,,,,
Mobility Routine,Fitness,Flexibility,4,timed,30,5,60,,,,,,,
Advanced Yoga Flow,Fitness,Flexibility,7,timed,45,15,90,,,,,,,
Cold Shower,Fitness,Recovery,6,timed,5,1,15,,,,,,,
Rest Day Light Walk,Fitness,Recovery,1,timed,20,5,60,,,,,,,
Sleep 8 Hours,Fitness,Recovery,5,daily_habit,1440,,,,,,,,,
Deep Breathing Exercise,Fitness,Recovery,2,timed,10,2,30,,,,,,,
Light Recovery Yoga,Fitness,Recovery,2,timed,20,5,45,,,,,,,
Epsom Salt Bath,Fitness,Recovery,1,timed,25,10,60,,,,,,,
Self Massage Foam Roller,Fitness,Recovery,2,timed,15,5,35,,,,,,,
Full Body Gym Session,Fitness,Strength,7,timed,60,20,120,,,,,,,Gym / Weightlifting
Heavy Squat Session 5x5,Fitness,Strength,8,reps,50,,,,,reps,25,5,40,Gym / Weightlifting
Deadlift PR Attempt,Fitness,Strength,9,reps,45,,,,,reps,5,1,10,Gym / Weightlifting
Upper Body Push Day,Fitness,Strength,7,timed,55,20,120,,,,,,,Gym / Weightlifting
Upper Body Pull Day,Fitness,Strength,7,timed,55,20,120,,,,,,,Gym / Weightlifting
Leg Day Full Session,Fitness,Strength,8,timed,60,20,120,,,,,,,Gym / Weightlifting
Arm Accessory Workout,Fitness,Strength,5,timed,30,10,75,,,,,,,Gym / Weightlifting
Progressive Overload a Lift,Fitness,Strength,7,reps,40,,,,,reps,20,3,40,Gym / Weightlifting
Track All Lifts in Log,Fitness,Strength,2,completion,10,,,,,,,,,Gym / Weightlifting
Deload Week Light Session,Fitness,Strength,3,timed,40,15,75,,,,,,,Gym / Weightlifting
Easy Recovery Run,Fitness,Cardio,3,flexible,20,,,4,12,km,3,1,15,Running
Tempo Run,Fitness,Cardio,6,flexible,28,,,3,8,km,5,2,20,Running
Long Distance Run,Fitness,Cardio,7,flexible,60,,,3,10,km,10,5,42,Running
Sprint Interval Session,Fitness,Cardio,8,timed,20,5,45,,,,,,,Running
Hill Running Session,Fitness,Cardio,8,timed,30,5,60,,,,,,,Running
5km Personal Best Attempt,Fitness,Cardio,9,flexible,25,,,3,8,km,5,5,5,Running
Easy Morning Jog,Fitness,Cardio,3,flexible,20,,,4,12,km,3,1,10,Running
Fartlek Training,Fitness,Cardio,7,timed,30,10,75,,,,,,,Running
Track Running Distance,Fitness,Cardio,1,completion,5,,,,,,,,,Running
Post Run Stretch,Fitness,Recovery,2,timed,10,3,30,,,,,,,Running
Beginner Yoga Flow,Fitness,Flexibility,2,timed,20,5,60,,,,,,,Yoga
Intermediate Yoga Flow,Fitness,Flexibility,5,timed,40,10,90,,,,,,,Yoga
Advanced Power Yoga,Fitness,Flexibility,8,timed,60,15,120,,,,,,,Yoga
Warrior Pose Sequence,Fitness,Flexibility,5,timed,15,3,45,,,,,,,Yoga
Practice Headstand,Fitness,Flexibility,9,timed,20,3,60,,,,,,,Yoga
Morning Sun Salutation,Fitness,Flexibility,4,reps,15,,,,,rounds,10,3,50,Yoga
Yin Yoga Deep Stretch,Fitness,Flexibility,4,timed,30,10,75,,,,,,,Yoga
Yoga Nidra Relaxation,Fitness,Recovery,2,timed,20,5,45,,,,,,,Yoga
Pranayama Breathing,Fitness,Flexibility,3,timed,10,3,30,,,,,,,Yoga
30 Day Yoga Challenge Day,Fitness,Flexibility,5,timed,25,5,75,,,,,,,Yoga
Swim Freestyle,Fitness,Cardio,5,flexible,20,,,0.4,2,laps,20,2,100,Swimming
Swim 1km Continuous,Fitness,Cardio,7,flexible,35,,,0.4,2,laps,40,10,120,Swimming
Freestyle Technique Drills,Fitness,Cardio,5,timed,25,5,60,,,,,,,Swimming
Sprint Swim Intervals,Fitness,Cardio,8,reps,25,,,,,reps,10,3,30,Swimming
Learn Breaststroke,Fitness,Cardio,5,timed,30,10,75,,,,,,,Swimming
Practice Backstroke,Fitness,Cardio,4,flexible,20,,,0.4,2,laps,10,2,60,Swimming
Open Water Swim,Fitness,Cardio,8,timed,30,10,90,,,,,,,Swimming
200m Personal Best Swim,Fitness,Cardio,8,reps,15,,,,,laps,8,8,8,Swimming
Dry Land Swim Training,Fitness,Strength,5,timed,25,5,60,,,,,,,Swimming
Cool Down Slow Swim,Fitness,Recovery,1,flexible,10,,,0.5,3,laps,5,2,20,Swimming
Easy Outdoor Cycle,Fitness,Cardio,4,flexible,45,,,2,6,km,15,3,100,Cycling
Interval Cycling Session,Fitness,Cardio,7,timed,30,10,75,,,,,,,Cycling
Long Distance Ride,Fitness,Cardio,8,flexible,90,,,2,5,km,40,20,200,Cycling
Hill Climb Cycling,Fitness,Cardio,8,timed,40,10,90,,,,,,,Cycling
Indoor Spin Class,Fitness,Cardio,7,timed,45,20,75,,,,,,,Cycling
